<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	09:00:00	110400	110585	109615	109845	71340	145051	5
2023.01.02	09:05:00	109850	109945	109715	109740	39203	85608	5
2023.01.02	09:10:00	109745	109765	109480	109665	55822	128948	5
2023.01.02	09:15:00	109660	109675	109380	109480	61839	137969	5
2023.01.02	09:20:00	109480	109730	109375	109720	49028	111819	5
2023.01.02	09:25:00	109720	109745	109615	109665	24498	55479	5
2023.01.02	09:30:00	109670	109680	109475	109485	33302	79332	5
2023.01.02	09:35:00	109480	109555	109350	109440	38643	95036	5
2023.01.02	09:40:00	109435	109535	109400	109505	23842	58494	5
2023.01.02	09:45:00	109505	109625	109480	109585	28437	72989	5
2023.01.02	09:50:00	109585	109640	109550	109565	20109	50105	5
2023.01.02	09:55:00	109570	109625	109440	109465	34019	83134	5
2023.01.02	10:00:00	109465	109550	109345	109540	54180	134280	5
2023.01.02	10:05:00	109540	109595	109430	109445	32796	81288	5
2023.01.02	10:10:00	109440	109455	108935	108990	94254	234041	5
2023.01.02	10:15:00	108990	109340	108910	109195	73680	192794	5
2023.01.02	10:20:00	109200	109240	108550	108785	106827	296703	5
2023.01.02	10:25:00	108785	108845	108475	108745	77736	191584	5
2023.01.02	10:30:00	108740	108795	108650	108770	37139	92047	5
2023.01.02	10:35:00	108775	108795	108525	108565	43805	116026	5
2023.01.02	10:40:00	108565	108590	108030	108240	102198	268223	5
2023.01.02	10:45:00	108240	108305	107790	107895	91068	249235	5
2023.01.02	10:50:00	107890	108050	107855	107905	41477	105512	5
2023.01.02	10:55:00	107905	108035	107900	108000	29069	73686	5
2023.01.02	11:00:00	108000	108130	107600	107785	72340	197832	5
2023.01.02	11:05:00	107785	107815	107395	107570	81143	223911	5
2023.01.02	11:10:00	107570	107685	107475	107620	44461	121154	5
2023.01.02	11:15:00	107620	107655	107265	107535	66492	179900	5
2023.01.02	11:20:00	107535	107810	107520	107770	39932	106337	5
2023.01.02	11:25:00	107775	107905	107760	107870	40301	110899	5
2023.01.02	11:30:00	107865	107885	107490	107580	56427	143755	5
2023.01.02	11:35:00	107580	107675	107365	107580	59453	143091	5
2023.01.02	11:40:00	107580	107755	107530	107750	38618	92822	5
2023.01.02	11:45:00	107750	107810	107675	107740	29024	71727	5
2023.01.02	11:50:00	107735	107850	107695	107760	28839	72155	5
2023.01.02	11:55:00	107760	107865	107710	107770	26599	69224	5
2023.01.02	12:00:00	107770	107780	107495	107625	44090	112259	5
