<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.03	10:25:00	134210	134305	134205	134245	32045	113497	5
2024.01.03	10:30:00	134240	134340	134215	134320	43298	151033	5
2024.01.03	10:35:00	134320	134335	134225	134240	28669	101706	5
2024.01.03	10:40:00	134235	134270	134010	134020	67488	247629	5
2024.01.03	10:45:00	134025	134055	133930	133950	59957	228266	5
2024.01.03	10:50:00	133950	133965	133690	133775	74636	283077	5
2024.01.03	10:55:00	133780	133860	133725	133775	51260	190382	5
2024.01.03	11:00:00	133775	133915	133760	133855	45019	163792	5
2024.01.03	11:05:00	133855	133970	133820	133925	34874	128563	5
2024.01.03	11:10:00	133925	133980	133850	133865	35914	129195	5
2024.01.03	11:15:00	133865	134070	133865	134045	44217	165252	5
2024.01.03	11:20:00	134050	134085	133920	133935	45705	167306	5
2024.01.03	11:25:00	133935	133995	133900	133935	27755	99340	5
2024.01.03	11:30:00	133935	134160	133900	134150	69779	260238	5
2024.01.03	11:35:00	134150	134520	134110	134420	108196	420121	5
2024.01.03	11:40:00	134425	134495	134245	134255	64379	242715	5
2024.01.03	11:45:00	134250	134385	134180	134380	56942	212965	5
2024.01.03	11:50:00	134380	134585	134260	134285	78880	294746	5
2024.01.03	11:55:00	134285	134310	134110	134140	41609	163554	5
2024.01.03	12:00:00	134145	134565	134065	134490	108812	395016	5
2024.01.03	12:05:00	134490	134595	134415	134430	64974	229614	5
2024.01.03	12:10:00	134430	134465	134330	134400	49436	177861	5
2024.01.03	12:15:00	134400	134590	134300	134565	58222	204550	5
2024.01.03	12:20:00	134570	134700	134450	134690	73235	265470	5
2024.01.03	12:25:00	134690	134745	134610	134610	48512	170009	5
2024.01.03	12:30:00	134615	134655	134485	134490	43610	152492	5
2024.01.03	12:35:00	134490	134510	134320	134345	43934	165994	5
2024.01.03	12:40:00	134350	134425	134260	134325	47660	180989	5
2024.01.03	12:45:00	134330	134450	134285	134410	34293	121892	5
2024.01.03	12:50:00	134415	134655	134395	134530	47061	182409	5
2024.01.03	12:55:00	134530	134545	134415	134495	40565	149611	5
2024.01.03	13:00:00	134495	134660	134495	134570	42217	147626	5
2024.01.03	13:05:00	134575	134655	134560	134570	23509	82881	5
2024.01.03	13:10:00	134570	134695	134530	134625	29415	100271	5
2024.01.03	13:15:00	134625	134670	134530	134535	24239	84190	5
2024.01.03	13:20:00	134530	134575	134415	134450	30364	115233	5
2024.01.03	13:25:00	134445	134575	134445	134465	27366	105775	5
2024.01.03	13:30:00	134470	134615	134460	134550	27389	105654	5
2024.01.03	13:35:00	134550	134580	134460	134460	20229	72387	5
2024.01.03	13:40:00	134465	134475	134365	134455	31537	118698	5
2024.01.03	13:45:00	134455	134535	134435	134520	21330	78398	5
2024.01.03	13:50:00	134520	134595	134500	134570	24110	86407	5
2024.01.03	13:55:00	134565	134575	134505	134530	14657	51474	5
2024.01.03	14:00:00	134530	134560	134400	134450	23693	82880	5
2024.01.03	14:05:00	134450	134455	134330	134345	23100	85324	5
2024.01.03	14:10:00	134345	134420	134310	134395	25680	93557	5
2024.01.03	14:15:00	134395	134570	134390	134530	34955	139255	5
2024.01.03	14:20:00	134530	134740	134510	134670	36810	144782	5
2024.01.03	14:25:00	134670	134830	134660	134775	43539	169866	5
2024.01.03	14:30:00	134780	134845	134715	134800	35047	137292	5
2024.01.03	14:35:00	134800	134845	134710	134710	24165	86217	5
2024.01.03	14:40:00	134710	134790	134685	134735	27572	103692	5
2024.01.03	14:45:00	134735	134810	134700	134795	21362	83519	5
2024.01.03	14:50:00	134800	134800	134730	134765	16002	59362	5
2024.01.03	14:55:00	134760	134975	134750	134950	42962	175844	5
2024.01.03	15:00:00	134945	134990	134880	134955	36218	138441	5
2024.01.03	15:05:00	134955	135045	134930	134970	32335	125257	5
2024.01.03	15:10:00	134975	135035	134935	134970	20828	80370	5
2024.01.03	15:15:00	134965	134985	134905	134970	21363	82443	5
2024.01.03	15:20:00	134970	135140	134940	135085	38853	157033	5
2024.01.03	15:25:00	135085	135150	135050	135075	28297	116724	5
2024.01.03	15:30:00	135075	135100	134910	134930	32613	130160	5
2024.01.03	15:35:00	134935	134945	134870	134940	23167	91000	5
2024.01.03	15:40:00	134940	134955	134775	134815	31549	127596	5
2024.01.03	15:45:00	134815	134850	134740	134765	27964	111801	5
2024.01.03	15:50:00	134765	134800	134690	134705	26702	106112	5
2024.01.03	15:55:00	134710	134875	134695	134795	20904	81468	5
2024.01.03	16:00:00	134795	134815	134630	134655	44018	161695	5
2024.01.03	16:05:00	134655	134715	134555	134665	47080	176025	5
2024.01.03	16:10:00	134665	134765	134575	134620	45651	167271	5
2024.01.03	16:15:00	134625	134775	134580	134750	33299	116850	5
2024.01.03	16:20:00	134750	134765	134610	134750	34662	122620	5
2024.01.03	16:25:00	134750	135070	134720	135015	64135	248859	5
2024.01.03	16:30:00	135020	135110	134830	134905	53335	204717	5
2024.01.03	16:35:00	134900	134935	134770	134805	27851	106182	5
2024.01.03	16:40:00	134805	134835	134725	134750	28272	108219	5
2024.01.03	16:45:00	134750	134775	134665	134670	26237	105275	5
2024.01.03	16:50:00	134675	134700	134610	134660	19478	76770	5
2024.01.03	16:55:00	134660	134675	134610	134635	13975	53545	5
2024.01.03	17:00:00	134635	134665	134565	134650	22269	84986	5
2024.01.03	17:05:00	134650	134720	134580	134700	23881	88110	5
2024.01.03	17:10:00	134700	134730	134650	134700	20127	76416	5
2024.01.03	17:15:00	134705	134705	134565	134650	24550	94502	5
2024.01.03	17:20:00	134645	134700	134590	134635	18840	69438	5
2024.01.03	17:25:00	134630	134690	134600	134685	15371	61076	5
2024.01.03	17:30:00	134685	134740	134510	134520	39757	170774	5
2024.01.03	17:35:00	134525	134555	134420	134485	26235	106964	5
2024.01.03	17:40:00	134485	134550	134450	134465	18253	69774	5
2024.01.03	17:45:00	134465	134550	134440	134475	18349	71708	5
2024.01.03	17:50:00	134480	134480	134370	134420	27620	107817	5
2024.01.03	17:55:00	134420	134475	134405	134460	16477	57758	5
2024.01.03	18:00:00	134460	134465	134340	134365	14174	46306	5
2024.01.03	18:05:00	134365	134410	134330	134380	12143	40710	5
2024.01.03	18:10:00	134380	134465	134355	134450	11752	39163	5
2024.01.03	18:15:00	134450	134525	134370	134465	10405	42866	5
2024.01.03	18:20:00	134465	134600	134450	134600	6000	37922	5
2024.01.04	09:00:00	134650	134715	134315	134400	68754	178271	5
2024.01.04	09:05:00	134400	134410	134220	134285	45899	146911	5
2024.01.04	09:10:00	134285	134320	134260	134305	18025	58507	5
2024.01.04	09:15:00	134310	134315	134265	134290	15555	52625	5
2024.01.04	09:20:00	134295	134320	134265	134300	10517	33267	5
2024.01.04	09:25:00	134300	134395	134280	134380	30821	104114	5
