<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	09:00:00	106395	106460	106260	106260	52580	117726	5
2022.01.03	09:05:00	106260	106335	106230	106285	28367	73144	5
2022.01.03	09:10:00	106290	106550	106285	106465	68358	191384	5
2022.01.03	09:15:00	106460	106465	106305	106385	39170	115925	5
2022.01.03	09:20:00	106390	106475	106290	106430	40605	122034	5
2022.01.03	09:25:00	106425	106605	106380	106600	41472	125633	5
2022.01.03	09:30:00	106605	106615	106400	106425	57337	169755	5
2022.01.03	09:35:00	106430	106505	106330	106435	54964	171001	5
2022.01.03	09:40:00	106435	106605	106415	106510	57731	170868	5
2022.01.03	09:45:00	106505	106640	106475	106615	54809	166837	5
2022.01.03	09:50:00	106620	106650	106480	106515	47880	148053	5
2022.01.03	09:55:00	106510	106550	106430	106430	50000	159397	5
2022.01.03	10:00:00	106430	106460	106225	106405	127401	398048	5
2022.01.03	10:05:00	106405	106550	106275	106495	100639	311211	5
2022.01.03	10:10:00	106495	107000	106450	106985	130820	423054	5
2022.01.03	10:15:00	106985	107165	106925	107105	81333	273303	5
2022.01.03	10:20:00	107105	107245	107040	107210	72677	236401	5
2022.01.03	10:25:00	107210	107245	107030	107090	55316	176112	5
2022.01.03	10:30:00	107095	107210	107005	107195	72643	233980	5
2022.01.03	10:35:00	107195	107200	106960	107090	66183	212551	5
2022.01.03	10:40:00	107090	107200	106980	107095	67555	212736	5
2022.01.03	10:45:00	107090	107095	106830	106835	78952	265952	5
2022.01.03	10:50:00	106835	106945	106805	106895	53392	175796	5
2022.01.03	10:55:00	106890	106905	106680	106690	66789	219136	5
2022.01.03	11:00:00	106690	106695	106250	106265	110456	395401	5
2022.01.03	11:05:00	106270	106320	105930	106025	111511	408104	5
2022.01.03	11:10:00	106030	106050	105830	105870	67072	235296	5
2022.01.03	11:15:00	105870	105990	105775	105945	57446	192453	5
2022.01.03	11:20:00	105950	106005	105655	105720	84226	286526	5
2022.01.03	11:25:00	105725	105725	105100	105160	121326	449859	5
2022.01.03	11:30:00	105155	105160	104915	105050	100064	370328	5
2022.01.03	11:35:00	105050	105130	104485	104750	127335	458705	5
2022.01.03	11:40:00	104750	104855	104515	104635	78593	271815	5
2022.01.03	11:45:00	104630	104730	104360	104505	92242	324196	5
2022.01.03	11:50:00	104500	104700	104395	104675	68223	224757	5
2022.01.03	11:55:00	104675	104800	104585	104780	55642	189016	5
2022.01.03	12:00:00	104780	104920	104685	104795	69896	236582	5
2022.01.03	12:05:00	104795	104915	104735	104890	46957	151106	5
2022.01.03	12:10:00	104890	104985	104705	104890	78383	269489	5
2022.01.03	12:15:00	104890	104945	104815	104830	38557	125842	5
2022.01.03	12:20:00	104825	105040	104815	104995	44448	141371	5
2022.01.03	12:25:00	105000	105055	104895	104950	35731	123862	5
2022.01.03	12:30:00	104950	105070	104915	105050	39920	138062	5
2022.01.03	12:35:00	105050	105130	105000	105105	31440	108244	5
2022.01.03	12:40:00	105110	105215	105090	105190	40100	142285	5
2022.01.03	12:45:00	105190	105325	105160	105300	40256	150189	5
2022.01.03	12:50:00	105300	105305	105110	105220	39441	138563	5
2022.01.03	12:55:00	105220	105245	105155	105235	22137	77808	5
2022.01.03	13:00:00	105230	105315	105200	105305	29508	105666	5
2022.01.03	13:05:00	105305	105310	105125	105180	36825	133140	5
2022.01.03	13:10:00	105180	105180	105005	105110	44181	149460	5
2022.01.03	13:15:00	105110	105180	105030	105035	34021	119738	5
2022.01.03	13:20:00	105035	105160	104955	105120	43642	145674	5
2022.01.03	13:25:00	105120	105240	105075	105200	34266	118501	5
2022.01.03	13:30:00	105195	105265	105150	105210	28747	103858	5
2022.01.03	13:35:00	105210	105270	105130	105165	34296	121520	5
2022.01.03	13:40:00	105160	105295	105135	105290	30667	105804	5
2022.01.03	13:45:00	105290	105455	105240	105410	58189	207270	5
2022.01.03	13:50:00	105410	105455	105350	105440	32022	110169	5
2022.01.03	13:55:00	105435	105470	105355	105360	29548	100265	5
2022.01.03	14:00:00	105360	105440	105305	105350	31666	106901	5
2022.01.03	14:05:00	105350	105420	105325	105385	23500	82035	5
2022.01.03	14:10:00	105380	105400	105240	105240	32511	112688	5
2022.01.03	14:15:00	105245	105330	105195	105235	40334	135669	5
2022.01.03	14:20:00	105235	105265	105185	105210	32495	112641	5
2022.01.03	14:25:00	105210	105300	105195	105280	22583	78611	5
2022.01.03	14:30:00	105285	105425	105270	105320	39205	140852	5
2022.01.03	14:35:00	105325	105355	105260	105345	28378	100251	5
2022.01.03	14:40:00	105345	105390	105265	105280	25944	97566	5
2022.01.03	14:45:00	105285	105325	105250	105305	20465	71946	5
2022.01.03	14:50:00	105310	105355	105290	105350	18278	67419	5
2022.01.03	14:55:00	105350	105365	105250	105310	28404	103593	5
2022.01.03	15:00:00	105315	105380	105285	105350	17665	61512	5
2022.01.03	15:05:00	105350	105365	105305	105315	13533	49007	5
2022.01.03	15:10:00	105315	105395	105270	105355	26970	100405	5
2022.01.03	15:15:00	105350	105410	105340	105365	17959	65758	5
2022.01.03	15:20:00	105360	105400	105300	105340	19683	76570	5
2022.01.03	15:25:00	105340	105380	105290	105295	14082	54884	5
2022.01.03	15:30:00	105300	105320	105225	105285	31659	114523	5
2022.01.03	15:35:00	105290	105310	105220	105265	21565	76853	5
2022.01.03	15:40:00	105265	105270	105160	105185	27205	99074	5
2022.01.03	15:45:00	105190	105260	105175	105230	21775	71517	5
2022.01.03	15:50:00	105230	105265	105175	105255	26013	89988	5
2022.01.03	15:55:00	105255	105330	105245	105325	25699	93918	5
2022.01.03	16:00:00	105325	105340	105270	105315	23421	89187	5
2022.01.03	16:05:00	105320	105370	105315	105360	19079	69995	5
2022.01.03	16:10:00	105355	105380	105310	105350	18789	76825	5
2022.01.03	16:15:00	105345	105370	105300	105325	18090	66755	5
2022.01.03	16:20:00	105330	105335	105280	105310	16143	59371	5
2022.01.03	16:25:00	105310	105445	105280	105400	32345	118601	5
2022.01.03	16:30:00	105400	105435	105375	105385	17550	61370	5
2022.01.03	16:35:00	105385	105430	105340	105430	21543	77575	5
2022.01.03	16:40:00	105425	105430	105365	105410	17659	68518	5
2022.01.03	16:45:00	105410	105415	105260	105290	36903	140489	5
2022.01.03	16:50:00	105295	105325	105220	105275	29904	111704	5
2022.01.03	16:55:00	105275	105300	105225	105270	22446	85449	5
2022.01.03	17:00:00	105270	105295	105095	105120	35195	137174	5
2022.01.03	17:05:00	105120	105190	105085	105175	24770	94047	5
2022.01.03	17:10:00	105175	105205	105135	105180	15904	57948	5
2022.01.03	17:15:00	105180	105200	104925	105010	30455	118814	5
